"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_PT10M_T2M","3660","2023-05-21T05:00:00","9.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T05:10:00","9.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T05:20:00","9.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T05:30:00","10.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T05:40:00","10.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T05:50:00","10.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T06:00:00","10.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T06:10:00","10.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T06:20:00","11.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T06:30:00","12","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T06:40:00","12.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T06:50:00","12.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T07:00:00","12.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T07:10:00","13.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T07:20:00","13","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T07:30:00","13.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T07:40:00","13.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T07:50:00","14.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T08:00:00","14.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T08:10:00","15.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T08:20:00","14.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T08:30:00","15.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T08:40:00","15.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T08:50:00","16.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T09:00:00","17.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T09:10:00","17.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T09:20:00","17","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T09:30:00","16.9","11","2",
