STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
29;Enge;4;Engelhart;Christian;Cairoli;Matteo;De Leener;Adrien;Schandorff;Frederik;DEU ;DINAMIC MOTORSPORT;PRO                                                         ;Porsche 911 GT3R (991 II);1;11:36:42.456;11:36:42.456;9:08.488;548,488;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.364;N;216;;43.275;J;234;;1:04.346;J;218;;10.591;J;264;;1:48.411;J;204;;35.873;J;243;;3:14.438;N;218;;20.712;J;261;;29.478;J;;;;N;;N;;N;9:05.044;13;N;0;;            ;;1;0;0;0;0;1;1;9:05.044
29;Enge;4;Engelhart;Christian;Cairoli;Matteo;De Leener;Adrien;Schandorff;Frederik;DEU ;DINAMIC MOTORSPORT;PRO                                                         ;Porsche 911 GT3R (991 II);2;11:45:50.979;11:45:50.979;9:08.523;548,523;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.762;J;217;;43.816;N;231;;1:04.746;N;216;;10.647;N;263;;1:49.442;N;204;;36.170;N;241;;3:11.596;J;214;;20.903;N;261;;30.441;N;;;;N;;N;;N;9:05.044;13;N;0;;            ;;2;0;0;0;0;1;2;9:05.044
33;Evan;2;Evans;Jaxon;Müller;Sven;Pilet;Patrick;Seefried;Marco;DEU ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);1;11:12:30.975;11:12:30.975;9:38.121;578,121;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.480;N;217;;46.801;N;233;;1:06.515;N;208;;10.839;N;261;;1:49.887;N;204;;44.971;N;231;;3:25.290;N;211;;21.044;N;260;;31.294;N;;;;N;;N;;N;8:49.947;4;N;0;;            ;;1;0;0;0;0;1;1;8:49.947
33;Evan;2;Evans;Jaxon;Müller;Sven;Pilet;Patrick;Seefried;Marco;DEU ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);2;11:21:34.570;11:21:34.570;9:03.595;543,595;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.719;N;216;;44.488;N;226;;1:05.198;N;215;;10.657;N;265;;1:47.807;J;206;;36.586;N;235;;3:05.469;N;208;;20.975;J;260;;30.696;N;;;;N;;N;;N;8:49.947;4;N;0;;            ;;2;0;0;0;0;1;2;8:49.947
33;Evan;4;Evans;Jaxon;Müller;Sven;Pilet;Patrick;Seefried;Marco;DEU ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);3;11:37:48.865;11:37:48.865;9:01.839;541,839;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.686;N;216;;43.781;N;233;;1:06.930;N;214;;10.725;N;262;;1:48.326;N;203;;35.696;N;242;;3:04.112;N;206;;21.096;N;260;;29.487;N;;;;N;;N;;N;8:49.947;4;N;0;;            ;;3;0;0;0;0;1;3;8:49.947
33;Evan;4;Evans;Jaxon;Müller;Sven;Pilet;Patrick;Seefried;Marco;DEU ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);4;11:46:39.529;11:46:39.529;8:50.664;530,664;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.033;J;216;;43.603;J;233;;1:04.821;J;218;;10.568;J;265;;1:48.327;N;205;;35.679;J;243;;2:56.039;J;204;;21.172;N;259;;29.422;J;;;;N;;N;;N;8:49.947;4;N;0;;            ;;4;0;0;0;0;1;4;8:49.947
44;Bach;1;Bachler;Klaus;Picariello;Alessio;Pilet;Patrick;Ragginger;Martin;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);1;11:12:55.101;11:12:55.101;9:05.964;545,964;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.096;N;216;;43.765;N;233;;1:05.004;J;211;;10.781;N;262;;1:50.817;N;203;;37.395;N;208;;3:05.351;N;213;;20.851;N;260;;29.904;N;;;;N;;N;;N;8:39.129;1;N;0;;            ;;1;0;0;0;0;1;1;8:39.129
44;Bach;4;Bachler;Klaus;Picariello;Alessio;Pilet;Patrick;Ragginger;Martin;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);2;11:25:16.635;11:25:16.635;12:21.534;741,534;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;4:00.656;N;216;;43.552;N;234;;1:05.712;N;209;;10.872;N;259;;1:49.947;N;202;;36.605;N;241;;3:03.655;N;214;;20.911;N;258;;29.624;N;;;;N;;N;;N;8:39.129;1;N;0;;            ;;2;0;0;0;0;1;2;8:39.129
44;Bach;4;Bachler;Klaus;Picariello;Alessio;Pilet;Patrick;Ragginger;Martin;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);3;11:34:24.228;11:34:24.228;9:07.593;547,593;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.152;J;216;;43.594;N;233;;1:05.700;N;212;;10.757;J;262;;1:49.885;N;203;;35.972;J;244;;3:08.717;N;216;;20.729;J;261;;31.087;N;;;;N;;N;;N;8:39.129;1;N;0;;            ;;3;0;0;0;0;2;1;8:39.129
44;Bach;4;Bachler;Klaus;Picariello;Alessio;Pilet;Patrick;Ragginger;Martin;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);4;11:49:28.947;11:49:28.947;8:40.358;520,358;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.625;N;216;;43.509;J;232;;1:05.441;N;209;;10.900;N;259;;1:49.379;J;204;;36.111;N;239;;2:43.125;J;222;;20.766;N;258;;29.502;J;;;;N;;N;;N;8:39.129;1;N;0;;            ;;4;0;0;0;0;2;2;8:39.129
