STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
29;Enge;1;Engelhart;Christian;Cairoli;Matteo;De Leener;Adrien;Schandorff;Frederik;DEU ;DINAMIC MOTORSPORT;PRO                                                         ;Porsche 911 GT3R (991 II);1;18:20:31.491;18:20:31.491;8:17.786;497,786;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.298;J;216;;42.552;J;234;;1:04.246;N;227;;10.357;J;268;;1:47.459;N;205;;35.375;J;247;;2:28.462;J;230;;20.248;J;263;;28.789;J;;;;N;;N;;N;8:17.763;14;N;0;;            ;;1;0;0;0;0;1;1;8:17.763
29;Enge;1;Engelhart;Christian;Cairoli;Matteo;De Leener;Adrien;Schandorff;Frederik;DEU ;DINAMIC MOTORSPORT;PRO                                                         ;Porsche 911 GT3R (991 II);2;18:28:50.785;18:28:50.785;8:19.294;499,294;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.327;N;216;;42.950;N;234;;1:04.233;J;225;;10.401;N;268;;1:47.449;J;205;;35.679;N;244;;2:28.533;N;226;;20.414;N;263;;29.308;N;;;;N;;N;;N;8:17.763;14;N;0;;            ;;2;0;0;0;0;1;2;8:17.763
33;Evan;3;Evans;Jaxon;Müller;Sven;Pilet;Patrick;Seefried;Marco;DEU ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);1;18:21:12.260;18:21:12.260;8:13.098;493,098;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.228;N;217;;42.487;N;235;;1:02.862;J;227;;10.361;J;266;;1:45.822;J;205;;35.421;J;244;;2:26.628;J;230;;20.382;J;262;;28.907;J;;;;N;;N;;N;8:12.954;9;N;0;;            ;;1;0;0;0;0;1;1;8:12.954
33;Evan;3;Evans;Jaxon;Müller;Sven;Pilet;Patrick;Seefried;Marco;DEU ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);2;18:29:30.966;18:29:30.966;8:18.706;498,706;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.171;J;216;;42.400;J;232;;1:03.419;N;225;;10.403;N;269;;1:47.324;N;204;;35.450;N;244;;2:29.888;N;228;;20.467;N;261;;29.184;N;;;;N;;N;;N;8:12.954;9;N;0;;            ;;2;0;0;0;0;1;2;8:12.954
44;Bach;2;Bachler;Klaus;Picariello;Alessio;Pilet;Patrick;Ragginger;Martin;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);1;18:20:10.677;18:20:10.677;8:15.132;495,132;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.261;J;216;;42.512;J;232;;1:03.334;J;227;;10.426;N;266;;1:46.332;N;202;;35.869;N;243;;2:26.940;J;227;;20.527;N;259;;28.931;J;;;;N;;N;;N;8:14.367;12;N;0;;            ;;1;0;0;0;0;1;1;8:14.367
44;Bach;2;Bachler;Klaus;Picariello;Alessio;Pilet;Patrick;Ragginger;Martin;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);2;18:28:26.220;18:28:26.220;8:15.543;495,543;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.287;N;214;;42.570;N;232;;1:03.464;N;227;;10.388;J;267;;1:45.976;J;206;;35.556;J;241;;2:27.885;N;228;;20.469;J;260;;28.948;N;;;;N;;N;;N;8:14.367;12;N;0;;            ;;2;0;0;0;0;1;2;8:14.367
55;Asse;1;Assenheimer;Patrick;Trefz;Luca-Sandro;Baumann;Dominik;Apothéloz;Julien;DEU ;Mercedes-AMG Team Landgraf;PRO-AM                                                      ;Mercedes-AMG GT3;1;18:19:29.038;18:19:29.038;8:15.721;495,721;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.511;J;216;;42.755;N;233;;1:03.617;J;223;;10.451;N;265;;1:46.674;N;205;;35.504;N;247;;2:26.977;N;232;;20.349;N;260;;28.883;N;;;;N;;N;;N;8:14.985;13;N;0;;            ;;1;0;0;0;0;1;1;8:14.985
55;Asse;1;Assenheimer;Patrick;Trefz;Luca-Sandro;Baumann;Dominik;Apothéloz;Julien;DEU ;Mercedes-AMG Team Landgraf;PRO-AM                                                      ;Mercedes-AMG GT3;2;18:27:44.613;18:27:44.613;8:15.575;495,575;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.563;N;216;;42.733;J;233;;1:04.155;N;225;;10.393;J;266;;1:46.275;J;206;;35.378;J;248;;2:26.939;J;231;;20.333;J;261;;28.806;J;;;;N;;N;;N;8:14.985;13;N;0;;            ;;2;0;0;0;0;1;2;8:14.985
90;Sore;3;Sorensen;Marco;Thiim;Nicki;Pittard;David;Martin;Maxime;MCO ;TF Sport;PRO                                                         ;Aston Martin Vantage AMR GT3;1;18:21:24.108;18:21:24.108;8:13.145;493,145;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.191;J;219;;42.533;J;234;;1:03.379;N;227;;10.316;N;266;;1:46.050;J;203;;35.557;N;247;;2:26.036;N;230;;20.350;N;262;;28.733;J;;;;N;;N;;N;8:12.776;10;N;0;;            ;;1;0;0;0;0;1;1;8:12.776
90;Sore;3;Sorensen;Marco;Thiim;Nicki;Pittard;David;Martin;Maxime;MCO ;TF Sport;PRO                                                         ;Aston Martin Vantage AMR GT3;2;18:29:37.550;18:29:37.550;8:13.442;493,442;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.468;N;218;;42.882;N;234;;1:03.328;J;229;;10.265;J;267;;1:46.081;N;204;;35.475;J;246;;2:25.955;J;232;;20.246;J;261;;28.742;N;;;;N;;N;;N;8:12.776;10;N;0;;            ;;2;0;0;0;0;1;2;8:12.776
98;Cats;3;Catsburg;Nicky;Edwards;John;van der Linde;Sheldon;Wittmann;Marco;NLD ;ROWE RACING;PRO                                                         ;BMW M4 GT3;1;18:20:56.328;18:20:56.328;8:11.039;491,039;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.006;J;217;;42.133;J;236;;1:02.399;J;233;;10.227;J;266;;1:45.314;J;205;;35.608;J;246;;2:26.620;J;233;;20.197;J;265;;28.535;J;;;;N;;N;;N;8:11.039;1;N;0;;            ;;1;0;0;0;0;1;1;8:11.039
98;Cats;3;Catsburg;Nicky;Edwards;John;van der Linde;Sheldon;Wittmann;Marco;NLD ;ROWE RACING;PRO                                                         ;BMW M4 GT3;2;18:29:11.672;18:29:11.672;8:15.344;495,344;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.408;N;216;;42.568;N;233;;1:03.921;N;214;;10.577;N;265;;1:46.278;N;204;;35.714;N;242;;2:26.627;N;232;;20.364;N;260;;28.887;N;;;;N;;N;;N;8:11.039;1;N;0;;            ;;2;0;0;0;0;1;2;8:11.039
116;Kofl;4;Kofler;Reinhard;Siljehaug;Mads;Hofer;Max;Heinemann;Tim;AUT ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;1;18:17:59.158;18:17:59.158;8:13.095;493,095;J;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;40.188;N;214;;42.353;J;234;;1:02.862;J;231;;10.285;J;261;;1:45.662;J;205;;35.591;J;243;;2:26.886;J;227;;20.483;J;258;;28.785;J;;;;N;;N;;N;8:12.999;7;N;0;;            ;;1;0;0;0;0;1;1;8:12.999
116;Kofl;4;Kofler;Reinhard;Siljehaug;Mads;Hofer;Max;Heinemann;Tim;AUT ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;2;18:26:35.486;18:26:35.486;8:36.328;516,328;N;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;40.092;J;216;;42.355;N;234;;1:11.863;N;218;;10.558;N;259;;1:49.432;N;205;;35.952;N;243;;2:35.876;N;225;;20.620;N;259;;29.580;N;;;;N;;N;;N;8:12.999;7;N;0;;            ;;2;0;0;0;0;1;2;8:12.999
